"	",,,,,,,,,
,,,,,,,,,
Date, Symbol, Series, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
03-Jun-20, GAIL, EQ,98.4,99.35,96,96.65,96.35,14935514,14569.77
02-Jun-20, GAIL, EQ,92.95,97.1,90.9,96.85,96.55,18576059,17605.67
01-Jun-20, GAIL, EQ,93.95,95,91.65,92.15,91.95,12536663,11673.26
29-May-20, GAIL, EQ,88.75,93.75,88.1,91.4,92.35,19769559,18060.28
28-May-20, GAIL, EQ,88.6,91.3,87.85,88.75,89.1,13857050,12414.42
27-May-20, GAIL, EQ,88.05,89,86.55,88.5,88.6,8688971,7634.03
26-May-20, GAIL, EQ,87.2,88.6,86.15,88.2,88.15,9732127,8529.19
22-May-20, GAIL, EQ,87.25,87.7,85,87.2,87.2,7514724,6489.07
21-May-20, GAIL, EQ,86.4,88.2,85.5,88.05,87.95,12867616,11223.09
